DSEI;Óbitos 2020;Óbitos 2021;Óbitos últimas 4 semanas (2);SE* do último óbito;Mortalidade 2020 (2);mortalidade 2021 (2);mortalidade últimas 4 semanas (2);Letalidade 2020;Letalidade 2021;Pop. vacinada 1ª dose (%) (3);Pop. vacinada 2ª dose (%) (3)
Alagoas e Sergipe;5;2;0;24/2021;40;16;0;2,1;0,6;95;93
Altamira;2;0;0;52/2020;45;0;0;0,1;0;94;85
Alto Rio Juruá;10;1;0;15/2021;55;5;0;1,2;1,3;60;40
Alto Rio Negro;14;12;0;08/2021;49;42;0;0,6;7,5;79;69
Alto Rio Purus;5;3;0;19/2021;39;24;0;0,8;5,6;74;59
Alto Rio Solimões;37;15;0;22/2021;52;21;0;1,8;5,5;79;62
Amapá e Norte do Pará;5;2;0;21/2021;38;15;0;0,5;2,4;77;70
Araguaia;7;0;0;39/2020;120;0;0;2,1;0;60;50
Bahia;7;2;0;21/2021;21;6;0;0,6;0,7;82;81
Ceará;9;8;0;20/2021;33;30;0;1;1,3;95;94
Cuiabá;24;3;1;29/2021;324;41;14;1,8;4,4;90;77
Guamá-Tocantins;17;2;0;15/2021;97;11;0;1,1;2,9;88;80
Interior Sul;36;18;1;28/2021;86;43;2;1,3;2,6;94;89
Kaiapó do Mato Grosso;5;0;0;49/2020;100;0;0;0,5;0;72;42
Kaiapó do Pará;9;0;0;33/2020;145;0;0;0,7;0;46;32
Leste de Roraima;64;18;1;17/2021;120;34;2;1,8;2,7;87;66
Litoral Sul;12;10;1;26/2021;48;40;4;1,1;2,2;100;97
Manaus;15;9;0;24/2021;48;29;0;1,5;3;81;77
Maranhão;27;6;1;28/2021;71;16;3;1,6;8,5;90;81
Mato Grosso do Sul;78;23;1;26/2021;99;29;1;1,9;4,7;85;76
Médio Rio Purus;5;2;0;21/2021;64;26;0;1;2,8;77;70
Médio Rio Solimões e Afluentes;10;1;0;01/2021;44;4;0;1,3;1,7;84;74
Minas Gerais e Espírito Santo;2;8;0;18/2021;12;47;0;0,5;1,6;99;94
Parintins;11;5;1;29/2021;66;30;6;1,9;6,9;74;67
Pernambuco;8;8;2;28/2021;21;21;5;1,3;3,4;97;97
Porto Velho;7;6;0;15/2021;65;56;0;0,6;1,3;89;83
Potiguara;4;2;0;20/2021;26;13;0;0,6;0,9;88;85
Rio Tapajós;16;3;0;14/2021;120;23;0;0,8;1,4;46;35
Tocantins;10;0;0;50/2020;79;0;0;0,9;0;86;75
Vale do Javari;2;1;0;04/2021;32;16;0;0,3;2,9;68;63
Vilhena;15;3;0;22/2021;254;51;0;1,9;0,8;97;93
Xavante;48;11;2;28/2021;216;50;9;5,4;10,1;87;81
Xingu;15;4;0;23/2021;186;50;0;1,8;0,6;79;65
Yanomami;12;6;0;12/2021;43;21;0;0,8;1,3;80;64
