Regiao;Estado;Data;% de ocupação de UTI
Nordeste;Alagoas;2021-07-08;66
Nordeste;Alagoas;2021-07-09;63
Nordeste;Alagoas;2021-07-10;65
Nordeste;Alagoas;2021-07-11;66
Nordeste;Alagoas;2021-07-12;60
Nordeste;Alagoas;2021-07-13;57
Nordeste;Alagoas;2021-07-14;58
Nordeste;Alagoas;2021-07-15;59
Nordeste;Alagoas;2021-07-16;58
Nordeste;Alagoas;2021-07-17;56
Nordeste;Alagoas;2021-07-18;56
Nordeste;Alagoas;2021-07-19;54
Nordeste;Alagoas;2021-07-20;53
Nordeste;Alagoas;2021-07-21;49
Nordeste;Alagoas;2021-07-22;44
Nordeste;Alagoas;2021-07-23;45
Nordeste;Alagoas;2021-07-24;44
Nordeste;Alagoas;2021-07-25;44
Nordeste;Alagoas;2021-07-26;45
Nordeste;Alagoas;2021-07-27;45
Nordeste;Alagoas;2021-07-28;35
Nordeste;Alagoas;2021-07-29;35
Nordeste;Bahia;2021-07-08;67
Nordeste;Bahia;2021-07-09;66
Nordeste;Bahia;2021-07-10;65
Nordeste;Bahia;2021-07-11;65
Nordeste;Bahia;2021-07-12;62
Nordeste;Bahia;2021-07-13;62
Nordeste;Bahia;2021-07-14;62
Nordeste;Bahia;2021-07-15;59
Nordeste;Bahia;2021-07-16;57
Nordeste;Bahia;2021-07-17;58
Nordeste;Bahia;2021-07-18;58
Nordeste;Bahia;2021-07-19;60
Nordeste;Bahia;2021-07-20;57
Nordeste;Bahia;2021-07-21;57
Nordeste;Bahia;2021-07-22;56
Nordeste;Bahia;2021-07-23;56
Nordeste;Bahia;2021-07-24;56
Nordeste;Bahia;2021-07-25;54
Nordeste;Bahia;2021-07-26;53
Nordeste;Bahia;2021-07-27;52
Nordeste;Bahia;2021-07-28;53
Nordeste;Bahia;2021-07-29;51
Nordeste;Ceará;2021-07-08;66
Nordeste;Ceará;2021-07-09;62
Nordeste;Ceará;2021-07-10;66
Nordeste;Ceará;2021-07-11;65
Nordeste;Ceará;2021-07-12;60
Nordeste;Ceará;2021-07-13;59
Nordeste;Ceará;2021-07-14;59
Nordeste;Ceará;2021-07-15;58
Nordeste;Ceará;2021-07-16;59
Nordeste;Ceará;2021-07-17;60
Nordeste;Ceará;2021-07-18;61
Nordeste;Ceará;2021-07-19;52
Nordeste;Ceará;2021-07-20;50
Nordeste;Ceará;2021-07-21;48
Nordeste;Ceará;2021-07-22;49
Nordeste;Ceará;2021-07-23;49
Nordeste;Ceará;2021-07-24;49
Nordeste;Ceará;2021-07-25;58
Nordeste;Ceará;2021-07-26;50
Nordeste;Ceará;2021-07-27;48
Nordeste;Ceará;2021-07-28;47
Nordeste;Ceará;2021-07-29;46
Nordeste;Maranhão;2021-07-08;70
Nordeste;Maranhão;2021-07-09;68
Nordeste;Maranhão;2021-07-10;67
Nordeste;Maranhão;2021-07-11;63
Nordeste;Maranhão;2021-07-12;62
Nordeste;Maranhão;2021-07-13;64
Nordeste;Maranhão;2021-07-14;66
Nordeste;Maranhão;2021-07-15;65
Nordeste;Maranhão;2021-07-16;64
Nordeste;Maranhão;2021-07-17;53
Nordeste;Maranhão;2021-07-18;60
Nordeste;Maranhão;2021-07-19;65
Nordeste;Maranhão;2021-07-20;64
Nordeste;Maranhão;2021-07-21;62
Nordeste;Maranhão;2021-07-22;60
Nordeste;Maranhão;2021-07-23;58
Nordeste;Maranhão;2021-07-24;58
Nordeste;Maranhão;2021-07-25;62
Nordeste;Maranhão;2021-07-26;65
Nordeste;Maranhão;2021-07-27;70
Nordeste;Maranhão;2021-07-28;63
Nordeste;Maranhão;2021-07-29;60
Nordeste;Paraíba;2021-07-08;43
Nordeste;Paraíba;2021-07-09;41
Nordeste;Paraíba;2021-07-10;59
Nordeste;Paraíba;2021-07-11;42
Nordeste;Paraíba;2021-07-12;39
Nordeste;Paraíba;2021-07-13;37
Nordeste;Paraíba;2021-07-14;38
Nordeste;Paraíba;2021-07-15;35
Nordeste;Paraíba;2021-07-16;35
Nordeste;Paraíba;2021-07-17;34
Nordeste;Paraíba;2021-07-18;34
Nordeste;Paraíba;2021-07-19;34
Nordeste;Paraíba;2021-07-20;34
Nordeste;Paraíba;2021-07-21;34
Nordeste;Paraíba;2021-07-22;34
Nordeste;Paraíba;2021-07-23;34
Nordeste;Paraíba;2021-07-24;34
Nordeste;Paraíba;2021-07-25;34
Nordeste;Paraíba;2021-07-26;34
Nordeste;Paraíba;2021-07-27;32
Nordeste;Paraíba;2021-07-28;31
Nordeste;Paraíba;2021-07-29;30
