DT_NOTIFIC;SEM_NOT;CASOS_SRAG;CASOS_COVID
2019-12-29;1;1;0
2019-12-30;1;5;0
2019-12-31;1;13;0
2020-01-01;1;7;0
2020-01-02;1;38;0
2020-01-03;1;38;0
2020-01-04;1;16;0
2020-01-05;2;18;0
2020-01-06;2;64;0
2020-01-07;2;45;0
2020-01-08;2;63;0
2020-01-09;2;55;0
2020-01-10;2;56;0
2020-01-11;2;20;0
2020-01-12;3;16;0
2020-01-13;3;82;0
2020-01-14;3;63;0
2020-01-15;3;55;0
2020-01-16;3;65;0
2020-01-17;3;51;0
2020-01-18;3;18;0
2020-01-19;4;14;0
2020-01-20;4;92;0
2020-01-21;4;68;0
2020-01-22;4;55;0
2020-01-23;4;41;0
2020-01-24;4;52;0
2020-01-25;4;15;0
2020-01-26;5;18;0
2020-01-27;5;109;0
2020-01-28;5;68;0
2020-01-29;5;52;0
2020-01-30;5;67;0
2020-01-31;5;51;0
2020-02-01;5;18;0
2020-02-02;6;19;0
2020-02-03;6;82;0
2020-02-04;6;60;0
2020-02-05;6;62;0
2020-02-06;6;48;0
2020-02-07;6;60;0
2020-02-08;6;18;0
2020-02-09;7;18;0
2020-02-10;7;97;0
2020-02-11;7;70;0
2020-02-12;7;60;0
2020-02-13;7;57;0
2020-02-14;7;67;0
2020-02-15;7;21;0
2020-02-16;8;18;0
2020-02-17;8;149;0
2020-02-18;8;95;0
2020-02-19;8;99;0
2020-02-20;8;101;0
2020-02-21;8;91;0
2020-02-22;8;35;0
2020-02-23;9;40;0
2020-02-24;9;88;0
2020-02-25;9;47;1
2020-02-26;9;150;0
2020-02-27;9;192;0
2020-02-28;9;166;1
2020-02-29;9;57;0
2020-03-01;10;50;0
2020-03-02;10;175;0
2020-03-03;10;135;0
2020-03-04;10;128;1
2020-03-05;10;134;4
2020-03-06;10;144;7
2020-03-07;10;44;5
2020-03-08;11;45;6
2020-03-09;11;248;0
2020-03-10;11;161;9
2020-03-11;11;182;19
2020-03-12;11;209;36
2020-03-13;11;271;17
2020-03-14;11;133;36
2020-03-15;12;150;83
2020-03-16;12;541;54
2020-03-17;12;516;54
2020-03-18;12;715;181
2020-03-19;12;812;129
2020-03-20;12;1158;331
2020-03-21;12;762;224
2020-03-22;13;724;396
2020-03-23;13;1942;358
2020-03-24;13;1647;303
2020-03-25;13;1646;311
2020-03-26;13;1790;424
2020-03-27;13;1835;486
2020-03-28;13;1106;479
2020-03-29;14;1020;360
2020-03-30;14;2589;348
2020-03-31;14;2053;1161
2020-04-01;14;1955;1107
2020-04-02;14;1928;1169
2020-04-03;14;1750;1112
2020-04-04;14;1166;1169
2020-04-05;15;1030;1043
2020-04-06;15;2611;838
2020-04-07;15;2015;1821
2020-04-08;15;2033;2175
2020-04-09;15;1936;1937
2020-04-10;15;1345;1742
2020-04-11;15;1363;1055
2020-04-12;16;1127;1464
2020-04-13;16;2762;1412
2020-04-14;16;2375;1909
2020-04-15;16;2473;3242
2020-04-16;16;2337;2082
2020-04-17;16;2272;3296
2020-04-18;16;1529;2778
2020-04-19;17;1396;2022
2020-04-20;17;2837;1740
2020-04-21;17;1855;2742
2020-04-22;17;3297;2744
2020-04-23;17;2815;3875
2020-04-24;17;3139;3911
2020-04-25;17;1937;5298
2020-04-26;18;1800;3715
2020-04-27;18;3992;4145
2020-04-28;18;3285;6233
2020-04-29;18;3452;6199
2020-04-30;18;3398;7327
2020-05-01;18;2457;5539
2020-05-02;18;2161;4915
2020-05-03;19;1985;4443
2020-05-04;19;4448;6982
2020-05-05;19;3743;7408
2020-05-06;19;3769;10544
2020-05-07;19;3441;9732
2020-05-08;19;3438;10407
2020-05-09;19;2164;10155
2020-05-10;20;2009;6259
2020-05-11;20;4503;6223
2020-05-12;20;4144;9613
2020-05-13;20;3968;11694
2020-05-14;20;3984;14133
2020-05-15;20;3875;15460
2020-05-16;20;2348;14048
2020-05-17;21;2330;7663
2020-05-18;21;4749;14559
2020-05-19;21;4197;17489
2020-05-20;21;4183;20232
2020-05-21;21;3915;18137
2020-05-22;21;3980;21807
2020-05-23;21;2579;16997
2020-05-24;22;2239;14468
2020-05-25;22;4533;12807
2020-05-26;22;4291;16327
2020-05-27;22;3982;20199
2020-05-28;22;3802;28337
2020-05-29;22;3749;26890
2020-05-30;22;2464;32321
2020-05-31;23;2190;13223
2020-06-01;23;4727;15149
2020-06-02;23;4046;31677
2020-06-03;23;4050;26085
2020-06-04;23;3747;31954
2020-06-05;23;3835;32101
2020-06-06;23;2503;23790
2020-06-07;24;2325;17988
2020-06-08;24;4660;17338
2020-06-09;24;4225;31698
2020-06-10;24;4340;33790
2020-06-11;24;3227;28692
2020-06-12;24;4185;24282
2020-06-13;24;2717;21230
2020-06-14;25;2403;16794
2020-06-15;25;5154;24617
2020-06-16;25;4626;36983
2020-06-17;25;4292;30925
2020-06-18;25;4299;25520
2020-06-19;25;4264;56059
2020-06-20;25;2714;28857
2020-06-21;26;2276;16567
2020-06-22;26;5437;26495
2020-06-23;26;4582;39527
2020-06-24;26;4113;41033
2020-06-25;26;4275;41464
2020-06-26;26;4414;44884
2020-06-27;26;2451;36920
2020-06-28;27;2385;32883
2020-06-29;27;5146;21550
2020-06-30;27;4703;39680
2020-07-01;27;4450;46825
2020-07-02;27;4503;44401
2020-07-03;27;4311;43040
2020-07-04;27;2648;33567
2020-07-05;28;2540;25193
2020-07-06;28;5585;24454
2020-07-07;28;4819;46699
2020-07-08;28;4739;45250
2020-07-09;28;4523;42962
2020-07-10;28;4869;44311
2020-07-11;28;2870;34947
2020-07-12;29;2603;23658
2020-07-13;29;5686;22893
2020-07-14;29;4864;42922
2020-07-15;29;4738;40142
2020-07-16;29;4397;43683
2020-07-17;29;4432;34618
2020-07-18;29;2712;25753
2020-07-19;30;2541;23412
2020-07-20;30;5863;22753
2020-07-21;30;4794;46927
2020-07-22;30;4675;66150
2020-07-23;30;4731;57326
2020-07-24;30;4560;56903
2020-07-25;30;2896;47535
2020-07-26;31;2373;22673
2020-07-27;31;5409;28011
2020-07-28;31;4869;54004
2020-07-29;31;4465;55451
2020-07-30;31;4506;58055
2020-07-31;31;4211;53264
2020-08-01;31;2461;41541
2020-08-02;32;2264;24066
2020-08-03;32;5064;20106
2020-08-04;32;4385;56283
2020-08-05;32;4120;56169
2020-08-06;32;4074;53989
2020-08-07;32;4045;49403
