CS_SEXO;CLASSE_ETARIA;DOSE_1;DOSE_2;DOSE_REFORCO;POPULACAO
M;0 a 4 anos;0;0;0;7016897
M;05 a 9 anos;0;0;0;7624144
M;10 a 14 anos;0;0;0;8725413
M;15 a 19 anos;5563264;2139717;0;8558868
M;20 a 24 anos;5609648;2157557;0;8630227
M;25 a 29 anos;5499647;2115249;0;8460995
M;30 a 34 anos;5016477;1929414;0;7717657
M;35 a 39 anos;4398332;1691666;0;6766665
M;40 a 44 anos;4108371;1580143;0;6320570
M;45 a 49 anos;3699808;1423003;0;5692013
M;50 a 54 anos;3142747;1208749;0;4834995
M;55 a 59 anos;2536524;975586;0;3902344
M;60 a 64 anos;1976672;760259;0;3041034
M;65 a 69 anos;1445642;556016;0;2224065
M;70 a 74 anos;1083792;416843;250106;1667373
M;75 a 79 anos;708837;272630;163578;1090518
M;80 a 84 anos;434605;167156;100293;668623
M;85 a 89 anos;201993;77690;46614;310759
M;90+;99736;38360;23016;153440
